date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:52%20GMT	http://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/jquery-1.12.4.min.js?v=167620768852842279821675837215	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/jquery-1.12.4.mincbf5.js	(from https://nokshi-2.myshopify.com/)
16:34:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:53%20GMT	http://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/popper.min.js?v=34695330375260839601675837217	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/popper.minc32d.js	(from https://nokshi-2.myshopify.com/)
16:34:54	98203/98203	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2009%20Feb%202023%2017:26:16%20GMT	https://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/jquery-1.12.4.min.js?v=167620768852842279821675837215	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/jquery-1.12.4.mincbf5.js	(from https://nokshi-2.myshopify.com/)
16:34:55	18994/18994	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2008%20Feb%202023%2006:20:59%20GMT	https://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/popper.min.js?v=34695330375260839601675837217	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/popper.minc32d.js	(from https://nokshi-2.myshopify.com/)
16:34:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:54%20GMT	http://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/bootstrap.min.js?v=16883752084331194951675837214	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/bootstrap.min693c.js	(from https://nokshi-2.myshopify.com/)
16:34:56	50564/50564	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2008%20Feb%202023%2006:20:59%20GMT	https://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/bootstrap.min.js?v=16883752084331194951675837214	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/bootstrap.min693c.js	(from https://nokshi-2.myshopify.com/)
16:34:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:55%20GMT	http://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/magnific-popup.js?v=142983337434679885831675837216	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/magnific-popup7126.js	(from https://nokshi-2.myshopify.com/)
16:34:56	20218/20218	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2008%20Feb%202023%2006:20:59%20GMT	https://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/magnific-popup.js?v=142983337434679885831675837216	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/magnific-popup7126.js	(from https://nokshi-2.myshopify.com/)
16:34:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Feb%202023%2012:34:55%20GMT	http://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/countdown.js?v=14012044983135477401675837214	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/countdown433b.js	(from https://nokshi-2.myshopify.com/)
16:34:57	3984/3984	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2009%20Feb%202023%2017:26:16%20GMT	https://cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/countdown.js?v=14012044983135477401675837214	C:/Users/MINAYE/Desktop/sinaq121/cdn.shopify.com/s/files/1/0044/3328/1139/t/14/assets/countdown433b.js	(from https://nokshi-2.myshopify.com/)
